match_number,date,opponent,venue,result,margin
1,2024-03-22,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",lost,by 6 wickets
6,2024-03-25,Punjab Kings,"M Chinnaswamy Stadium, Bengaluru",won,by 4 wickets
10,2024-03-29,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bengaluru",lost,by 7 wickets
15,2024-04-02,Lucknow Super Giants,"M Chinnaswamy Stadium, Bengaluru",lost,by 28 runs
19,2024-04-06,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",lost,by 6 wickets
25,2024-04-11,Mumbai Indians,"Wankhede Stadium, Mumbai",lost,by 7 wickets
30,2024-04-15,Sunrisers Hyderabad,"M Chinnaswamy Stadium, Bengaluru",lost,by 25 runs
36,2024-04-21,Kolkata Knight Riders,"Eden Gardens, Kolkata",lost,by 1 runs
41,2024-04-25,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",won,by 35 runs
45,2024-04-28,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",won,by 9 wickets
52,2024-05-04,Gujarat Titans,"M Chinnaswamy Stadium, Bengaluru",won,by 4 wickets
58,2024-05-09,Punjab Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",won,by 60 runs
62,2024-05-12,Delhi Capitals,"M Chinnaswamy Stadium, Bengaluru",won,by 47 runs
68,2024-05-18,Chennai Super Kings,"M Chinnaswamy Stadium, Bengaluru",won,by 27 runs
71,2024-05-22,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",lost,by 4 wickets
